Combo_Name,Selection_Run_ID,Number_of_Tasks,Makespan,CPU_Time
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065631,15,730.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065635,18,944.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065639,23,1203.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065643,61,3097.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065646,11,578.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065650,9,436.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065654,11,546.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065658,18,868.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065702,39,2065.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065706,8,452.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065711,8,424.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065715,2,154.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065718,18,954.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065722,21,1092.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065726,5,317.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065732,18,1038.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065739,24,1230.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065743,8,407.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065745,9,482.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065749,5,289.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065752,11,498.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065756,20,988.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065801,14,716.0,0.0
